sentence1,sentence2,similarity_score,pred_sim_score_cos,pred_sim_score_euclid,pred_sim_score_dot
un avion est en train de decoller.,un avion est en train de decoller.,1.0,0.9999999,1.0,0.33381301063839625
un homme joue d'une grande flute.,un homme joue de la flute.,0.76,0.9261936,0.5816774,0.6201668733563117
un homme etale du fromage rape sur une pizza.,un homme etale du fromage rape sur une pizza non cuite.,0.76,0.9750481,0.70138985,0.6626148174570506
trois hommes jouent aux echecs.,deux hommes jouent aux echecs.,0.52,0.81971633,0.5313152,0.3540022978445235
un homme joue du violoncelle.,un homme assis joue du violoncelle.,0.85,0.8715965,0.53362733,0.49415078818315944
certains hommes se battent.,deux hommes se battent.,0.85,0.79786414,0.4819158,0.3591873582662026
un homme est en train de fumer.,un homme fait du patinage.,0.1,0.46917325,0.39696422,0.2042776721240556
l'homme joue du piano.,l'homme joue de la guitare.,0.32,0.7351898,0.39033136,0.6475439331122432
un homme joue de la guitare et chante.,une femme joue de la guitare acoustique et chante.,0.44,0.90635633,0.51981723,0.7730518170357396
une personne jette un chat au plafond.,une personne jette un chat au plafond.,1.0,0.9999999,1.0,0.4984854253919784
l'homme a frappe l'autre homme avec un baton.,l'homme a donne une fessee a l'autre homme avec un baton.,0.84,0.90494096,0.5967785,0.38829335257969605
une femme prend et tient un bebe kangourou.,une femme prend et tient un bebe kangourou dans ses bras.,0.91999996,0.9487644,0.61247456,0.6679760116022941
un homme joue de la flute.,un homme joue de la flute de bambou.,0.7734,0.8598247,0.5028307,0.5769228301022012
une personne est en train de plier un morceau de papier.,quelqu'un est en train de plier un morceau de papier.,0.9334,0.9366135,0.6588429,0.38382866884579575
un homme court sur la route.,un chien panda court sur la route.,0.3334,0.62328243,0.38280147,0.4165932894184435
un chien essaie de se debarrasser de son bacon.,un chien essaie de manger le bacon sur son dos.,0.75,0.94970685,0.60921127,0.6895605533327107
l'ours polaire glisse sur la neige.,un ours polaire glisse sur la neige.,1.0,0.9730047,0.6968082,0.6545432602282502
une femme est en train d'ecrire.,une femme nage.,0.1,0.4651433,0.37111187,0.2582378061743924
un chat se frotte au visage de bebe.,un chat se frotte contre un bebe.,0.76,0.8866604,0.5337645,0.5628033249941652
l'homme est a cheval.,un homme est monte sur un cheval.,1.0,0.9079387,0.5489783,0.5865226519070833
