sentence1,sentence2,similarity_score,pred_sim_score_cos,pred_sim_score_euclid,pred_sim_score_dot
un avion est en train de decoller.,un avion est en train de decoller.,1.0,0.9999999,0.9999999,0.5662373757206718
un homme joue d'une grande flute.,un homme joue de la flute.,0.76,0.94565344,0.41736364,0.5694354463423716
un homme etale du fromage rape sur une pizza.,un homme etale du fromage rape sur une pizza non cuite.,0.76,0.9754108,0.520098,0.5055638457416315
trois hommes jouent aux echecs.,deux hommes jouent aux echecs.,0.52,0.6601782,0.26802188,0.2979573150696348
un homme joue du violoncelle.,un homme assis joue du violoncelle.,0.85,0.9347725,0.38292465,0.599304586066824
certains hommes se battent.,deux hommes se battent.,0.85,0.81619906,0.26362473,0.578068495280471
un homme est en train de fumer.,un homme fait du patinage.,0.1,0.2807486,0.16806927,0.226228902099759
l'homme joue du piano.,l'homme joue de la guitare.,0.32,0.32344812,0.16568819,0.2626222757923183
un homme joue de la guitare et chante.,une femme joue de la guitare acoustique et chante.,0.44,0.67152435,0.28329512,0.2565876258420861
une personne jette un chat au plafond.,une personne jette un chat au plafond.,1.0,0.99999994,0.9999999,0.6403072408853812
l'homme a frappe l'autre homme avec un baton.,l'homme a donne une fessee a l'autre homme avec un baton.,0.84,0.8820995,0.32499883,0.4966513703383731
une femme prend et tient un bebe kangourou.,une femme prend et tient un bebe kangourou dans ses bras.,0.91999996,0.9802408,0.49625486,0.7849437220139435
un homme joue de la flute.,un homme joue de la flute de bambou.,0.7734,0.9375527,0.40279543,0.5498109997857552
une personne est en train de plier un morceau de papier.,quelqu'un est en train de plier un morceau de papier.,0.9334,0.987814,0.5818297,0.6671191452007836
un homme court sur la route.,un chien panda court sur la route.,0.3334,0.40223962,0.16771509,0.3173230784354896
un chien essaie de se debarrasser de son bacon.,un chien essaie de manger le bacon sur son dos.,0.75,0.93132806,0.34052017,0.8069827765373664
l'ours polaire glisse sur la neige.,un ours polaire glisse sur la neige.,1.0,0.9753699,0.45904642,0.8647485081672135
une femme est en train d'ecrire.,une femme nage.,0.1,0.434161,0.21317837,0.2410093599851684
un chat se frotte au visage de bebe.,un chat se frotte contre un bebe.,0.76,0.9299598,0.366277,0.6434350541836232
l'homme est a cheval.,un homme est monte sur un cheval.,1.0,0.935385,0.392962,0.5023303526062796
un homme verse de l'huile dans un pot.,un homme verse du vin dans un pot.,0.64,0.6034456,0.23341122,0.3247656263774309
un homme joue de la guitare.,une fille joue de la guitare.,0.56,0.6302883,0.22192179,0.3881023630503112
un panda glisse sur un toboggan.,un panda glisse sur un toboggan.,0.91999996,1.0,1.0,0.6720242283582065
une femme est en train de manger quelque chose.,une femme mange de la viande.,0.6,0.8070823,0.27605334,0.4395773661357564
une femme epluche une pomme de terre.,une femme epluche une pomme de terre.,1.0,1.0000001,1.0,0.6697125754197675
le garcon est tombe de son velo.,un garcon tombe de son velo.,0.96000004,0.9244852,0.5102443,0.2509819729859255
la femme joue de la flute.,une femme joue de la flute.,1.0,0.99381363,0.6515692,0.4935802437474989
un lapin court apres un aigle.,un lievre court devant un aigle.,0.84,0.9246883,0.3518999,0.6763315098485807
la femme fait frire une cotelette de porc panee.,une femme prepare une cotelette de porc panee.,0.84,0.97794354,0.52081287,0.6037058467450022
une fille fait voler un cerf-volant.,une fille qui court fait voler un cerf-volant.,0.8,0.95511156,0.4911117,0.4142871873615891
un homme monte un taureau mecanique.,un homme etait a cheval sur un taureau mecanique.,0.8,0.6929669,0.31471846,0.2396401168782667
l'homme joue de la guitare.,un homme joue de la guitare.,0.98179996,0.98805916,0.61735207,0.5399590263563804
une femme danse et chante avec d'autres femmes.,une femme danse et chante sous la pluie.,0.6,0.68038064,0.22068399,0.4642850769705042
un homme est en train de couper un petit pain.,un homme coupe un oignon en tranches.,0.48000002,0.6516957,0.21946481,0.3849691535622065
un homme verse de l'huile dans une casserole.,un homme verse de l'huile dans une poele.,0.84,0.8740474,0.33339858,0.455860769753127
un lion joue avec les gens.,un lion joue avec deux hommes.,0.68,0.8338979,0.24993666,0.7233383074449788
un chien fait du skateboard.,un chien fait du skateboard.,1.0,1.0000001,1.0,0.8295374610445847
quelqu'un est en train de sculpter une statue.,un homme est en train de sculpter une statue.,0.75,0.91301024,0.3238573,0.7347703760930623
une femme coupe un oignon.,un homme est en train de couper un oignon.,0.55,0.6766773,0.2246056,0.4268492235096498
une femme epluche des crevettes.,une femme est en train de peler des crevettes.,1.0,0.84352255,0.34125262,0.2964722809480838
une femme fait frire du poisson.,une femme fait cuire du poisson.,0.8,0.95850396,0.43561995,0.5111671744962175
une femme joue de la guitare electrique.,une femme joue de la guitare.,0.71999997,0.90051556,0.36267266,0.4842426981804155
un bebe tigre joue avec une balle.,un bebe joue avec une poupee.,0.32,0.6269174,0.19497646,0.4558256410913981
une personne coupe une tomate en tranches.,une personne coupe de la viande en tranches.,0.35,0.57947326,0.23025668,0.2755556339160684
une personne coupe un oignon.,une personne est en train de couper un oignon.,1.0,0.9534976,0.4092365,0.4600216061304991
un homme joue du piano.,une femme joue du violon.,0.2,0.2832591,0.15353724,0.2633343591436834
une femme joue de la flute.,un homme joue de la guitare.,0.2,0.07544028,0.16156131,0.1257324626500848
un homme est en train de couper une pomme de terre.,un homme est en train de couper des carottes.,0.475,0.5588604,0.1755284,0.4850147006103037
un enfant joue de la guitare.,un garcon joue de la guitare.,0.76,0.7241915,0.25221547,0.4125178247905237
un garcon joue de la guitare.,un homme joue de la guitare.,0.64,0.9277817,0.40107524,0.4860706174256328
un homme joue de la guitare.,un garcon joue de la guitare.,0.64,0.9277817,0.40107524,0.4860706174256328
un petit garcon joue du clavier.,un garcon joue au clavier.,0.88,0.91025937,0.40958273,0.3730851940838525
un homme joue de la guitare.,un homme joue de la guitare electrique.,0.75,0.86150795,0.32104868,0.4846577239512292
un chien leche un bebe.,un chien est en train de lecher un bebe.,0.95,0.96181333,0.41150373,0.7382553530470575
