sentence1,sentence2,similarity_score,pred_sim_score_cos,pred_sim_score_euclid,pred_sim_score_dot
un avion est en train de decoller.,un avion est en train de decoller.,1.0,1.0,1.0,0.7375355558123451
un homme joue d'une grande flute.,un homme joue de la flute.,0.76,0.9296614,0.1850648,0.6229677621517855
un homme etale du fromage rape sur une pizza.,un homme etale du fromage rape sur une pizza non cuite.,0.76,0.959261,0.25844508,0.43560923498570475
trois hommes jouent aux echecs.,deux hommes jouent aux echecs.,0.52,0.9642345,0.26316506,0.4707183983132395
un homme joue du violoncelle.,un homme assis joue du violoncelle.,0.85,0.9485829,0.21340585,0.6084455312889413
certains hommes se battent.,deux hommes se battent.,0.85,0.77928346,0.11421841,0.4997848519833697
un homme est en train de fumer.,un homme fait du patinage.,0.1,0.663084,0.098391294,0.3223977413622409
l'homme joue du piano.,l'homme joue de la guitare.,0.32,0.92787963,0.18404704,0.6146955811720499
un homme joue de la guitare et chante.,une femme joue de la guitare acoustique et chante.,0.44,0.92349654,0.18245278,0.5614804543232085
une personne jette un chat au plafond.,une personne jette un chat au plafond.,1.0,1.0,0.99999976,0.5404913772492076
l'homme a frappe l'autre homme avec un baton.,l'homme a donne une fessee a l'autre homme avec un baton.,0.84,0.8941212,0.1673543,0.4814698565483248
une femme prend et tient un bebe kangourou.,une femme prend et tient un bebe kangourou dans ses bras.,0.91999996,0.9418236,0.2087922,0.5530006728580713
un homme joue de la flute.,un homme joue de la flute de bambou.,0.7734,0.9460824,0.20848748,0.6142608607239314
une personne est en train de plier un morceau de papier.,quelqu'un est en train de plier un morceau de papier.,0.9334,0.90925324,0.1548286,0.7399854670984894
un homme court sur la route.,un chien panda court sur la route.,0.3334,0.8512607,0.15128952,0.40640770653255315
un chien essaie de se debarrasser de son bacon.,un chien essaie de manger le bacon sur son dos.,0.75,0.91156757,0.17612292,0.5314040628967875
l'ours polaire glisse sur la neige.,un ours polaire glisse sur la neige.,1.0,0.9486599,0.22662878,0.5048750111477903
une femme est en train d'ecrire.,une femme nage.,0.1,0.6353818,0.10254356,0.26651582014597447
un chat se frotte au visage de bebe.,un chat se frotte contre un bebe.,0.76,0.9081684,0.1814515,0.46825239430246407
l'homme est a cheval.,un homme est monte sur un cheval.,1.0,0.7852071,0.11996037,0.4516137749558686
un homme verse de l'huile dans un pot.,un homme verse du vin dans un pot.,0.64,0.93384457,0.19960694,0.5391603657793892
un homme joue de la guitare.,une fille joue de la guitare.,0.56,0.9448806,0.20510602,0.6271765952271147
un panda glisse sur un toboggan.,un panda glisse sur un toboggan.,0.91999996,1.0000002,0.99999976,0.43968308003124507
